18-16-000920, Solar ,240,4.99,2018-06-13,87.88,,25883.27, TX ,711,, Ion ,Carval,1-7.18
18-16-000959, Solar ,240,3.99,2018-06-13,83.48,,29501.83, TX ,735,, SpeirInno ,Carval,1-7.18
18-16-000984, Solar ,240,3.99,2018-06-14,83.48,,21526.15, NV ,701,, QuickSystems ,Carval,1-7.18
18-16-001075, Solar ,240,4.99,2018-06-13,87.88,,15308.07, CA ,815,,1,Carval,1-7.18
18-16-001089, Solar ,240,5.99,2018-06-08,92.48,,35327.36, TX ,703,, EnvirosolarPower ,Carval,1-7.18
18-16-001161, Solar ,240,3.99,2018-06-08,83.48,,15393.71, CA ,763,, Solcius ,Carval,1-7.18
18-16-001175, Solar ,120,3.99,2018-06-12,87.38,,10110.63, CA ,741,, SunRun ,Carval,1-7.18
18-16-001176, Solar ,240,3.99,2018-06-15,83.48,,11200.51, CO ,831,, BlueRaven ,Carval,1-7.18
18-16-001223, Solar ,240,3.99,2018-06-15,83.48,,27179.42, TX ,659,, SpeirInno ,Carval,1-7.18
18-16-001229, Solar ,240,3.99,2018-06-14,83.48,,26059.12, CA ,714,, FreedomForever ,Carval,1-7.18
18-12-000192, Solar ,240,4.99,2018-03-13,89.54,,23316.22, CA ,849,, Velocity ,Carval,1-7.18
18-01-000196, Solar ,120,3.99,2018-03-20,89.04,,31680.38, CA ,776,, SunRun ,Carval,1-7.18
18-09-000109, Solar ,240,5.99,2018-03-21,94.14,,23561.66, CA ,677,, SunRun ,Carval,1-7.18
18-10-000200, Solar ,120,3.99,2018-03-26,89.04,,17262.92, CA ,735,, SunRun ,Carval,1-7.18
18-03-000375, Solar+Storage ,120,3.99,2018-03-26,89.04,,20361.81, CA ,842,, SunRun ,Carval,1-7.18
18-15-000308, Solar+Storage ,240,3.99,2018-03-29,85.14,,24335.57, CO ,741,, BlueRaven ,Carval,1-7.18
18-13-000108, Solar ,120,3.99,2018-04-02,89.04,,17253.18, CA ,785,, SunRun ,Carval,1-7.18
18-01-000285, Solar ,120,3.99,2018-04-02,89.04,,31386.6, AZ ,659,, SunRun ,Carval,1-7.18
18-09-000095, Solar ,120,3.99,2018-04-03,89.04,,21115.28, CA ,744,, SunRun ,Carval,1-7.18
18-10-000198, Solar+Storage ,120,3.99,2018-04-03,89.04,,20054.47, CA ,706,, SunRun ,Carval,1-7.18
18-11-000350, Solar ,240,5.99,2018-04-03,94.14,,26679.24, CA ,780,, SunRun ,Carval,1-7.18
18-16-000306, Solar ,120,3.99,2018-04-04,89.04,,27198.67, CA ,657,, SunRun ,Carval,1-7.18
18-14-000301, Solar+Storage ,120,3.99,2018-04-04,89.04,,33201.93, CA ,839,, SunRun ,Carval,1-7.18
18-08-000365, Solar ,120,3.99,2018-04-04,89.04,,17707.54, CA ,729,, SunRun ,Carval,1-7.18
18-14-000187, Solar+Storage ,120,3.99,2018-04-06,89.04,,40674.12, CA ,720,, SunRun ,Carval,1-7.18
18-06-000237, Solar+Storage ,120,3.99,2018-04-06,89.04,,22195.61, CA ,692,, SunRun ,Carval,1-7.18
18-08-000220, Solar ,120,3.99,2018-04-06,89.04,,39035.92, CA ,850,, SunRun ,Carval,1-7.18
18-15-000067, Solar+Storage ,240,5.99,2018-04-06,94.14,,44198.1, CA ,717,, SunRun ,Carval,1-7.18
18-06-000268, Solar ,240,5.99,2018-04-06,94.14,,32764.49, CA ,712,, SunRun ,Carval,1-7.18
18-13-000234, Solar+Storage ,240,5.99,2018-04-06,94.14,,32018.75, CA ,807,, SunRun ,Carval,1-7.18
18-03-000379, Solar ,120,3.99,2018-04-10,89.04,,17804.84, CA ,779,, SunRun ,Carval,1-7.18
18-06-000356, Solar ,120,3.99,2018-04-10,89.04,,19936.85, CA ,750,, SunRun ,Carval,1-7.18
18-11-000245, Solar ,120,3.99,2018-04-10,89.04,,15686.09, CA ,831,, SunRun ,Carval,1-7.18
18-12-000283, Solar ,240,3.99,2018-04-10,85.14,,27822.05, NC ,764,, BlueRaven ,Carval,1-7.18
18-12-000304, Solar ,240,5.99,2018-04-10,94.14,,25222.7, CA ,695,, SunRun ,Carval,1-7.18
18-02-000219, Solar ,240,3.99,2018-04-10,85.14,,37485.44, SC ,692,, BlueRaven ,Carval,1-7.18
18-15-000226, Solar ,240,3.99,2018-04-10,85.14,,15605.31, ID ,714,, BlueRaven ,Carval,1-7.18
18-08-000119, Solar ,240,5.99,2018-04-10,94.14,,17794.29, CA ,651,, SunRun ,Carval,1-7.18
18-02-000341, Solar ,120,3.99,2018-04-11,89.04,,23460.85, CA ,760,, SunRun ,Carval,1-7.18
18-11-000409, Solar ,120,3.99,2018-04-11,89.04,,14638.03, CA ,807,, SunRun ,Carval,1-7.18
18-01-000201, Solar ,120,3.99,2018-04-11,89.04,,19029.3, CA ,833,, SunRun ,Carval,1-7.18
18-03-000433, Solar ,120,3.99,2018-04-11,89.04,,15215.28, CA ,800,, SunRun ,Carval,1-7.18
18-12-000104, Solar ,120,3.99,2018-04-11,89.04,,20872.11, CA ,838,, SunRun ,Carval,1-7.18
18-08-000467, Solar ,120,3.99,2018-04-11,89.04,,24768.94, CA ,733,, SunRun ,Carval,1-7.18
18-01-000254, Solar ,240,3.99,2018-04-11,85.14,,38779.57, NC ,691,, BlueRaven ,Carval,1-7.18
18-12-000318, Solar ,240,3.99,2018-04-11,85.14,,20174.77, CO ,816,, BlueRaven ,Carval,1-7.18
18-15-000361, Solar ,240,5.99,2018-04-11,94.14,,20997.37, CA ,760,, SunRun ,Carval,1-7.18
18-14-000268, Solar ,240,3.99,2018-04-11,85.14,,17716.46, ID ,814,, BlueRaven ,Carval,1-7.18
18-15-000266, Solar+Storage ,240,5.99,2018-04-11,94.14,,40658.01, CA ,709,, SunRun ,Carval,1-7.18
18-15-000187, Solar ,240,3.99,2018-04-11,85.14,,12382.68, SC ,688,, BlueRaven ,Carval,1-7.18
18-03-000158, Solar+Storage ,120,3.99,2018-04-12,89.04,,29311.08, CA ,793,, SunRun ,Carval,1-7.18
18-14-000318, Solar+Storage ,120,3.99,2018-04-12,89.04,,24610.11, CA ,815,, SunRun ,Carval,1-7.18
18-09-000490, Solar ,120,3.99,2018-04-12,89.04,,15254.13, CA ,680,, SunRun ,Carval,1-7.18
18-02-000340, Solar ,120,3.99,2018-04-12,89.04,,20524.56, CA ,795,, SunRun ,Carval,1-7.18
18-05-000207, Solar ,120,3.99,2018-04-12,89.04,,14296.38, CA ,758,, SunRun ,Carval,1-7.18
18-06-000198, Solar ,120,3.99,2018-04-12,89.04,,47720.6, CA ,840,, SunRun ,Carval,1-7.18
18-10-000286, Solar ,120,3.99,2018-04-12,89.04,,39299.57, CA ,723,, SunRun ,Carval,1-7.18
18-03-000231, Solar ,120,3.99,2018-04-12,89.04,,11848.48, CA ,709,, SunRun ,Carval,1-7.18
18-16-000079, Solar ,240,3.99,2018-04-12,85.14,,25295.95, NC ,820,, BlueRaven ,Carval,1-7.18
18-09-000124, Solar ,240,3.99,2018-04-12,85.14,,18443.88, CO ,793,, BlueRaven ,Carval,1-7.18
18-01-000410, Solar ,240,3.99,2018-04-12,85.14,,11076.71, CO ,741,, BlueRaven ,Carval,1-7.18
18-09-000135, Solar ,240,5.99,2018-04-12,94.14,,25899.6, CA ,849,, SunRun ,Carval,1-7.18
18-07-000134, Solar ,240,3.99,2018-04-12,85.14,,25547.61, SC ,823,, BlueRaven ,Carval,1-7.18
18-11-000143, Solar ,240,3.99,2018-04-12,85.14,,17700.61, ID ,850,, BlueRaven ,Carval,1-7.18
18-12-000312, Solar ,240,3.99,2018-04-12,85.14,,21921.85, OR ,822,, BlueRaven ,Carval,1-7.18
18-14-000347, Solar ,240,3.99,2018-04-12,85.14,,24111.65, ID ,718,, BlueRaven ,Carval,1-7.18
18-02-000137, Solar ,240,3.99,2018-04-12,85.14,,11318.51, ID ,816,, BlueRaven ,Carval,1-7.18
18-07-000348, Solar ,240,5.99,2018-04-12,94.14,,40967.09, CA ,710,, SunRun ,Carval,1-7.18
18-03-000078, Solar ,240,3.99,2018-04-12,85.14,,40367.43, SC ,731,, BlueRaven ,Carval,1-7.18
18-02-000180, Solar ,240,3.99,2018-04-12,85.14,,10580.35, OR ,840,, BlueRaven ,Carval,1-7.18
18-08-000370, Solar ,240,3.99,2018-04-12,85.14,,11372.15, ID ,842,, BlueRaven ,Carval,1-7.18
18-04-000179, Solar+Storage ,120,3.99,2018-04-13,89.04,,37417.78, CA ,793,, SunRun ,Carval,1-7.18
18-08-000302, Solar+Storage ,120,3.99,2018-04-13,89.04,,26416.45, CA ,847,, SunRun ,Carval,1-7.18
18-01-000248, Solar ,120,3.99,2018-04-13,89.04,,20804.75, CA ,737,, SunRun ,Carval,1-7.18
18-06-000065, Solar ,120,3.99,2018-04-13,89.04,,31261.28, CA ,728,, SunRun ,Carval,1-7.18
18-08-000306, Solar ,120,3.99,2018-04-13,89.04,,14507.5, CA ,761,, SunRun ,Carval,1-7.18
18-06-000128, Solar ,120,3.99,2018-04-13,89.04,,18108.46, CA ,775,, SunRun ,Carval,1-7.18
18-05-000205, Solar ,240,3.99,2018-04-13,85.14,,19672.45, CO ,791,, BlueRaven ,Carval,1-7.18
18-15-000292, Solar ,240,3.99,2018-04-13,85.14,,11656.52, CO ,702,, BlueRaven ,Carval,1-7.18
18-03-000393, Solar ,240,3.99,2018-04-13,85.14,,27530.02, NC ,758,, BlueRaven ,Carval,1-7.18
18-16-000312, Solar ,240,3.99,2018-04-13,85.14,,14579.37, CO ,754,, BlueRaven ,Carval,1-7.18
18-01-000150, Solar+Storage ,240,5.99,2018-04-13,94.14,,27929.52, CA ,807,, SunRun ,Carval,1-7.18
18-13-000211, Solar ,240,3.99,2018-04-13,85.14,,14044.69, ID ,653,, BlueRaven ,Carval,1-7.18
18-08-000153, Solar ,240,3.99,2018-04-13,85.14,,31249.79, SC ,688,, BlueRaven ,Carval,1-7.18
18-10-000206, Solar ,240,3.99,2018-04-13,85.14,,15106.39, ID ,698,, BlueRaven ,Carval,1-7.18
18-12-000088, Solar+Storage ,120,3.99,2018-04-16,89.04,,18446.17, CA ,759,, SunRun ,Carval,1-7.18
18-07-000442, Solar+Storage ,120,3.99,2018-04-16,89.04,,28222.78, CA ,691,, SunRun ,Carval,1-7.18
18-06-000312, Solar ,120,2.99,2018-04-16,85.94,,15785.46, NM ,739,, Ion ,Carval,1-7.18
18-04-000367, Solar ,120,3.99,2018-04-16,89.04,,24145.3, CA ,813,, SunRun ,Carval,1-7.18
18-03-000271, Solar ,120,3.99,2018-04-16,89.04,,17307.3, CA ,832,, SunRun ,Carval,1-7.18
18-05-000223, Solar ,120,3.99,2018-04-16,89.04,,17380.61, TX ,829,, Trismart ,Carval,1-7.18
18-05-000163, Solar+Storage ,120,3.99,2018-04-16,89.04,,23109.08, CA ,828,, SunRun ,Carval,1-7.18
18-07-000410, Solar ,120,2.99,2018-04-16,85.94,,17832.55, FL ,837,, SunRun ,Carval,1-7.18
18-08-000048, Solar ,120,3.99,2018-04-16,89.04,,18488.27, TX ,850,, Trismart ,Carval,1-7.18
18-13-000511, Solar ,240,3.99,2018-04-16,85.14,,21296.92, CO ,820,, BlueRaven ,Carval,1-7.18
18-12-000377, Solar ,240,3.99,2018-04-16,85.14,,13552.59, CO ,765,, BlueRaven ,Carval,1-7.18
18-07-000376, Solar ,240,3.99,2018-04-16,85.14,,17953.47, CO ,793,, BlueRaven ,Carval,1-7.18
18-05-000311, Solar ,240,3.99,2018-04-16,85.14,,17351.53, OR ,739,, BlueRaven ,Carval,1-7.18
18-01-000278, Solar ,240,3.99,2018-04-16,85.14,,12745.46, OR ,718,, BlueRaven ,Carval,1-7.18
18-09-000302, Solar ,240,3.99,2018-04-16,85.14,,25620.33, SC ,765,, BlueRaven ,Carval,1-7.18
18-07-000304, Solar ,240,3.99,2018-04-16,85.14,,31747.85, NC ,708,, BlueRaven ,Carval,1-7.18
18-11-000272, Solar ,240,3.99,2018-04-16,85.14,,13836.1, OR ,837,, BlueRaven ,Carval,1-7.18
18-16-000322, Solar ,240,3.99,2018-04-16,85.14,,15980.78, OR ,825,, BlueRaven ,Carval,1-7.18
18-07-000468, Solar ,240,3.99,2018-04-16,85.14,,5505.98, ID ,832,, BlueRaven ,Carval,1-7.18
18-05-000269, Solar ,240,3.99,2018-04-16,85.14,,25720.79, NV ,814,, BlueRaven ,Carval,1-7.18
18-13-000500, Solar ,240,5.99,2018-04-16,94.14,,11575.45, MI ,661,, PowerHome ,Carval,1-7.18
18-11-000163, Solar ,240,3.99,2018-04-16,85.14,,35001.91, SC ,825,, BlueRaven ,Carval,1-7.18
18-08-000390, Solar ,240,3.99,2018-04-16,85.14,,17551.61, ID ,790,, BlueRaven ,Carval,1-7.18
18-10-000217, Solar+Storage ,120,3.99,2018-04-17,89.04,,22148.41, CA ,714,, SunRun ,Carval,1-7.18
18-08-000420, Solar ,120,3.99,2018-04-17,89.04,,21552.11, CA ,657,, SunRun ,Carval,1-7.18
18-15-000419, Solar ,120,3.99,2018-04-17,89.04,,18878.66, CA ,814,, SunRun ,Carval,1-7.18
18-15-000377, Solar ,120,3.99,2018-04-17,89.04,,15261.16, CA ,830,, SunRun ,Carval,1-7.18
18-06-000130, Solar+Storage ,120,3.99,2018-04-17,89.04,,38319.01, CA ,788,, SunRun ,Carval,1-7.18
18-16-000163, Solar ,120,3.99,2018-04-17,89.04,,21777.15, CA ,817,, SunRun ,Carval,1-7.18
18-11-000293, Solar ,120,3.99,2018-04-17,89.04,,25664, TX ,822,, Trismart ,Carval,1-7.18
18-08-000418, Solar ,240,3.99,2018-04-17,85.14,,14503.6, CO ,707,, BlueRaven ,Carval,1-7.18
18-15-000418, Solar ,240,5.99,2018-04-17,94.14,,27871.07, CA ,799,, SunRun ,Carval,1-7.18
18-07-000057, Solar ,240,3.99,2018-04-17,85.14,,37318.56, SC ,731,, BlueRaven ,Carval,1-7.18
18-10-000170, Solar ,240,3.99,2018-04-17,85.14,,28368.65, CA ,657,, Complete ,Carval,1-7.18
18-03-000350, Solar ,240,3.99,2018-04-17,85.14,,23232.15, ID ,798,, BlueRaven ,Carval,1-7.18
18-09-000353, Solar ,240,3.99,2018-04-17,85.14,,17620.57, ID ,754,, BlueRaven ,Carval,1-7.18
18-14-000079, Solar ,240,3.99,2018-04-17,85.14,,32751.66, SC ,836,, BlueRaven ,Carval,1-7.18
18-01-000230, Solar ,240,3.99,2018-04-17,85.14,,19197.69, CA ,704,, Complete ,Carval,1-7.18
18-13-000477, Solar ,240,4.99,2018-04-17,89.54,,25071.2, TX ,834,, SpeirInno ,Carval,1-7.18
18-12-000353, Solar ,240,3.99,2018-04-17,85.14,,22828.59, ID ,777,, BlueRaven ,Carval,1-7.18
18-07-000305, Solar+Storage ,120,3.99,2018-04-18,89.04,,31063.4, CA ,821,, SunRun ,Carval,1-7.18
18-04-000102, Solar ,120,3.99,2018-04-18,89.04,,12081.76, CA ,777,, SunRun ,Carval,1-7.18
18-07-000470, Solar ,120,2.99,2018-04-18,85.94,,15170.13, MD ,775,, Vivint ,Carval,1-7.18
18-03-000120, Solar ,120,3.99,2018-04-18,89.04,,20701.8, AZ ,690,, SunRun ,Carval,1-7.18
18-06-000279, Solar ,120,2.99,2018-04-18,85.94,,8662.75, TX ,702,, Ion ,Carval,1-7.18
18-13-000078, Solar ,120,3.99,2018-04-18,89.04,,18253.2, AZ ,830,, SunRun ,Carval,1-7.18
18-05-000355, Solar ,120,3.99,2018-04-18,89.04,,38732.89, CA ,719,, SunRun ,Carval,1-7.18
18-02-000332, Solar ,120,3.99,2018-04-18,89.04,,22722.41, CA ,770,, SunRun ,Carval,1-7.18
18-15-000156, Solar ,240,5.99,2018-04-18,94.14,,39240.01, CA ,823,, SunRun ,Carval,1-7.18
18-14-000435, Solar ,240,4.99,2018-04-18,89.54,,10386.64, CA ,700,, Complete ,Carval,1-7.18
18-05-000243, Solar ,240,5.99,2018-04-18,94.14,,26624.31, CA ,762,, SunRun ,Carval,1-7.18
18-07-000340, Solar ,240,5.99,2018-04-18,94.14,,33322.79, CA ,806,, SunRun ,Carval,1-7.18
18-11-000135, Solar ,240,5.99,2018-04-18,94.14,,22703.15, CA ,701,, SunRun ,Carval,1-7.18
18-14-000383, Solar ,240,5.99,2018-04-18,94.14,,11039.07, CA ,702,, SunRun ,Carval,1-7.18
18-02-000042, Solar ,240,3.99,2018-04-18,85.14,,23253.44, NC ,716,, BlueRaven ,Carval,1-7.18
18-08-000358, Solar ,240,3.99,2018-04-18,85.14,,37844.73, CA ,719,, Complete ,Carval,1-7.18
18-07-000094, Solar ,240,3.99,2018-04-18,85.14,,14595.55, SC ,734,, BlueRaven ,Carval,1-7.18
18-07-000370, Solar ,240,3.99,2018-04-18,85.14,,20778.42, ID ,761,, BlueRaven ,Carval,1-7.18
18-15-000301, Solar ,240,3.99,2018-04-18,85.14,,15993.55, OR ,812,, BlueRaven ,Carval,1-7.18
18-13-000212, Solar ,240,5.99,2018-04-18,94.14,,31631.04, TX ,721,, EnvirosolarPower ,Carval,1-7.18
18-16-000325, Solar ,240,3.99,2018-04-18,85.14,,35075.13, SC ,717,, BlueRaven ,Carval,1-7.18
18-11-000125, Solar ,240,5.99,2018-04-18,94.14,,20382.46, CA ,801,, SunRun ,Carval,1-7.18
18-05-000091, Solar ,240,3.99,2018-04-18,85.14,,28234.98, NC ,673,, BlueRaven ,Carval,1-7.18
18-11-000500, Solar ,240,5.99,2018-04-18,94.14,,42363, CA ,702,, FreedomForever ,Carval,1-7.18
18-09-000297, Solar ,120,3.99,2018-04-19,89.04,,19996.02, CA ,811,, SunRun ,Carval,1-7.18
18-11-000229, Solar ,120,3.99,2018-04-19,89.04,,25130.46, CA ,826,, SunRun ,Carval,1-7.18
18-15-000247, Solar ,120,2.99,2018-04-19,85.94,,8594, CO ,732,, Ion ,Carval,1-7.18
18-03-000297, Solar ,120,3.99,2018-04-19,89.04,,21108.61, CA ,847,, SunRun ,Carval,1-7.18
18-01-000268, Solar ,240,5.99,2018-04-19,94.14,,10783.29, CA ,734,, SunRun ,Carval,1-7.18
18-04-000308, Solar ,240,3.99,2018-04-19,85.14,,16051.44, OR ,755,, BlueRaven ,Carval,1-7.18
18-09-000469, Solar+Storage ,240,5.99,2018-04-19,94.14,,32704.01, CA ,650,, SunRun ,Carval,1-7.18
18-05-000352, Solar ,240,3.99,2018-04-19,85.14,,21032.99, OR ,800,, BlueRaven ,Carval,1-7.18
18-06-000267, Solar ,240,3.99,2018-04-19,85.14,,16455.86, CO ,822,, BlueRaven ,Carval,1-7.18
18-05-000344, Solar ,240,3.99,2018-04-19,85.14,,23714.9, CO ,756,, BlueRaven ,Carval,1-7.18
18-14-000436, Solar ,240,5.99,2018-04-19,94.14,,15871.04, CA ,813,, SunRun ,Carval,1-7.18
18-15-000172, Solar ,240,3.99,2018-04-19,85.14,,11326.17, ID ,739,, BlueRaven ,Carval,1-7.18
18-12-000068, Solar ,240,3.99,2018-04-19,85.14,,40313.79, SC ,784,, BlueRaven ,Carval,1-7.18
18-06-000170, Solar ,240,3.99,2018-04-19,85.14,,32362.12, ID ,772,, BlueRaven ,Carval,1-7.18
18-04-000254, Solar ,240,5.99,2018-04-19,94.14,,32949, NM ,813,, NMSolarGroup ,Carval,1-7.18
18-10-000073, Solar ,240,3.99,2018-04-19,85.14,,11201.87, ID ,712,, BlueRaven ,Carval,1-7.18
18-03-000181, Solar ,240,5.99,2018-04-19,94.14,,10830.81, NM ,716,, NMSolarGroup ,Carval,1-7.18
18-08-000497, Solar ,240,3.99,2018-04-19,85.14,,16788.76, CO ,774,, BlueRaven ,Carval,1-7.18
18-07-000170, Solar ,240,5.99,2018-04-19,94.14,,24980.05, TX ,698,, EnvirosolarPower ,Carval,1-7.18
18-06-000392, Solar ,240,5.99,2018-04-19,94.14,,29089.26, TX ,790,, EnvirosolarPower ,Carval,1-7.18
18-15-000362, Solar ,240,3.99,2018-04-19,85.14,,25542, TX ,689,, InfinityEnergy ,Carval,1-7.18
18-08-000520, Solar ,240,5.99,2018-04-19,94.14,,51376.91, TX ,704,, EnvirosolarPower ,Carval,1-7.18
18-04-000040, Solar ,240,3.99,2018-04-19,85.14,,33747.05, NC ,837,, BlueRaven ,Carval,1-7.18
18-05-000495, Solar ,240,5.99,2018-04-19,94.14,,43323.23, OK ,783,, EnvirosolarPower ,Carval,1-7.18
18-09-000102, Solar ,240,3.99,2018-04-19,85.14,,35389.29, ID ,725,, BlueRaven ,Carval,1-7.18
18-09-000492, Solar ,240,5.99,2018-04-19,94.14,,44864.3, TX ,713,, EnvirosolarPower ,Carval,1-7.18
18-12-000276, Solar ,120,3.99,2018-04-20,89.04,,32154.12, TX ,708,, Trismart ,Carval,1-7.18
18-09-000547, Solar ,120,3.99,2018-04-20,89.04,,14483.76, CA ,731,, SunRun ,Carval,1-7.18
18-07-000273, Solar ,120,2.99,2018-04-20,85.94,,26211.7, FL ,797,, SunRun ,Carval,1-7.18
18-08-000325, Solar ,120,3.99,2018-04-20,89.04,,15960.68, CA ,807,, SunRun ,Carval,1-7.18
18-13-000382, Solar ,120,3.99,2018-04-20,89.04,,28641.95, CA ,773,, SunRun ,Carval,1-7.18
18-16-000210, Solar ,120,3.99,2018-04-20,89.04,,26666.02, CA ,776,, SunRun ,Carval,1-7.18
18-08-000453, Solar ,120,3.99,2018-04-20,89.04,,17665.75, CA ,664,, SunRun ,Carval,1-7.18
18-06-000427, Solar ,120,3.99,2018-04-20,89.04,,45855.6, MO ,850,, EnvirosolarPower ,Carval,1-7.18
18-07-000323, Solar ,120,2.99,2018-04-20,85.94,,19009.93, NM ,819,, Ion ,Carval,1-7.18
18-02-000204, Solar ,120,3.99,2018-04-20,89.04,,16160.47, CA ,812,, SunRun ,Carval,1-7.18
18-05-000378, Solar ,240,5.99,2018-04-20,94.14,,11080.29, CA ,850,, SunRun ,Carval,1-7.18
18-01-000450, Solar ,240,3.99,2018-04-20,85.14,,13822.15, CA ,711,, Complete ,Carval,1-7.18
18-15-000423, Solar ,240,3.99,2018-04-20,85.14,,16719.79, CA ,719,, Complete ,Carval,1-7.18
18-11-000317, Solar ,240,3.99,2018-04-20,85.14,,13514.27, CO ,749,, BlueRaven ,Carval,1-7.18
18-04-000247, Solar ,240,3.99,2018-04-20,85.14,,11822.12, CA ,834,, Complete ,Carval,1-7.18
18-12-000362, Solar ,240,3.99,2018-04-20,85.14,,42526.58, CA ,654,, Complete ,Carval,1-7.18
18-12-000308, Solar ,240,5.99,2018-04-20,94.14,,27838.89, CA ,767,, SunRun ,Carval,1-7.18
18-08-000209, Solar ,240,3.99,2018-04-20,85.14,,17100.37, SC ,750,, BlueRaven ,Carval,1-7.18
18-07-000235, Solar ,240,5.99,2018-04-20,94.14,,27823.06, CA ,823,, SunRun ,Carval,1-7.18
18-03-000268, Solar+Storage ,240,5.99,2018-04-20,94.14,,27873.76, CA ,711,, SunRun ,Carval,1-7.18
18-03-000326, Solar ,240,3.99,2018-04-20,85.14,,27262.68, CO ,828,, BlueRaven ,Carval,1-7.18
18-05-000228, Solar ,240,3.99,2018-04-20,85.14,,12337.64, ID ,800,, BlueRaven ,Carval,1-7.18
18-03-000428, Solar ,240,5.99,2018-04-20,94.14,,53460.22, OK ,750,, EnvirosolarPower ,Carval,1-7.18
18-16-000471, Solar ,240,5.99,2018-04-20,94.14,,17744.8, CA ,717,, SunRun ,Carval,1-7.18
18-14-000062, Solar ,240,3.99,2018-04-20,85.14,,30275.78, SC ,752,, BlueRaven ,Carval,1-7.18
18-11-000145, Solar ,240,3.99,2018-04-20,85.14,,10081.43, ID ,847,, BlueRaven ,Carval,1-7.18
18-04-000379, Solar ,240,3.99,2018-04-20,85.14,,14123.87, ID ,757,, BlueRaven ,Carval,1-7.18
18-10-000253, Solar ,240,3.99,2018-04-20,85.14,,19928.72, ID ,729,, BlueRaven ,Carval,1-7.18
18-13-000271, Solar ,240,3.99,2018-04-20,85.14,,11321.07, ID ,797,, BlueRaven ,Carval,1-7.18
18-05-000282, Solar ,240,3.99,2018-04-20,85.14,,20316.11, CO ,833,, BlueRaven ,Carval,1-7.18
18-15-000113, Solar+Storage ,120,3.99,2018-04-23,89.04,,29154.58, CA ,805,, SunRun ,Carval,1-7.18
18-13-000224, Solar ,120,3.99,2018-04-23,89.04,,23120.96, CA ,746,, SunRun ,Carval,1-7.18
18-09-000210, Solar ,120,3.99,2018-04-23,89.04,,39306.71, SC ,731,, SunRun ,Carval,1-7.18
18-01-000474, Solar ,120,2.99,2018-04-23,85.94,,41298.47, FL ,694,, Vivint ,Carval,1-7.18
18-03-000232, Solar ,120,3.99,2018-04-23,89.04,,21133.39, CA ,722,, SunRun ,Carval,1-7.18
18-09-000202, Solar ,120,2.99,2018-04-23,85.94,,16704.16, TX ,651,, Ion ,Carval,1-7.18
18-01-000475, Solar ,240,3.99,2018-04-23,85.14,,54199.27, CA ,792,, Solcius ,Carval,1-7.18
18-02-000337, Solar ,240,3.99,2018-04-23,85.14,,29208.98, CA ,835,, InfinityEnergy ,Carval,1-7.18
18-01-000473, Solar ,240,3.99,2018-04-23,85.14,,14777.75, CO ,749,, BlueRaven ,Carval,1-7.18
18-10-000336, Solar ,240,3.99,2018-04-23,85.14,,15016.99, CO ,747,, BlueRaven ,Carval,1-7.18
18-13-000170, Solar ,240,4.99,2018-04-23,89.54,,33072.49, CA ,687,, Solcius ,Carval,1-7.18
18-12-000343, Solar ,240,3.99,2018-04-23,85.14,,12444.06, CA ,844,, Solcius ,Carval,1-7.18
18-11-000389, Solar ,240,3.99,2018-04-23,85.14,,38908.98, CO ,724,, EmpireSolar ,Carval,1-7.18
18-06-000480, Solar ,240,3.99,2018-04-23,85.14,,14777.75, CO ,843,, BlueRaven ,Carval,1-7.18
18-01-000094, Solar ,240,3.99,2018-04-23,85.14,,20369.75, CO ,830,, BlueRaven ,Carval,1-7.18
18-14-000236, Solar ,240,3.99,2018-04-23,85.14,,20142.42, CO ,696,, BlueRaven ,Carval,1-7.18
18-09-000213, Solar ,240,3.99,2018-04-23,85.14,,26236.74, UT ,709,, Solcius ,Carval,1-7.18
18-08-000128, Solar ,240,3.99,2018-04-23,85.14,,27480.64, CA ,698,, Solcius ,Carval,1-7.18
18-04-000343, Solar ,240,5.99,2018-04-23,94.14,,26631.41, CA ,789,, SunRun ,Carval,1-7.18
18-07-000502, Solar ,240,3.99,2018-04-23,85.14,,36438.22, FL ,683,, Vivint ,Carval,1-7.18
18-13-000419, Solar ,240,3.99,2018-04-23,85.14,,38358.98, CO ,754,, BlueRaven ,Carval,1-7.18
18-03-000325, Solar ,240,3.99,2018-04-23,85.14,,24844.7, CA ,670,, Complete ,Carval,1-7.18
18-10-000127, Solar ,240,5.99,2018-04-23,94.14,,59996.36, SC ,757,, Solcius ,Carval,1-7.18
18-11-000386, Solar ,240,3.99,2018-04-23,85.14,,15332.01, OR ,699,, BlueRaven ,Carval,1-7.18
18-01-000206, Solar ,240,4.99,2018-04-23,89.54,,26760.03, CA ,721,,1,Carval,1-7.18
18-03-000311, Solar ,240,3.99,2018-04-23,85.14,,47279.94, SC ,753,, BlueRaven ,Carval,1-7.18
17-04-000004, Solar ,240,4.99,2018-04-23,89.54,,32476.16, TX ,662,, Trismart ,Carval,1-7.18
17-02-000005, Solar ,240,4.99,2018-04-23,89.54,,19206.33, TX ,700,, Trismart ,Carval,1-7.18
18-05-000258, Solar ,240,5.99,2018-04-23,94.14,,36200.6, SC ,707,, Solcius ,Carval,1-7.18
18-05-000369, Solar ,240,5.99,2018-04-23,94.14,,47070, NC ,668,, PowerHome ,Carval,1-7.18
18-08-000555, Solar ,240,5.99,2018-04-23,94.14,,32195.88, TX ,788,, EnvirosolarPower ,Carval,1-7.18
